Model Name,filename,ID Number,Output filename,main filename,program used,Time taken,Cores,nodes,Link to model
A single column thalamocortical network model (Traub et al 2005),traubEtAl2005.zip,45539,"out8.dat,perf.dat",init.hoc,neuron 7.3,8 min,3,1,http://senselab.med.yale.edu/modeldb/showmodel.asp?model=82894
"MEG of Somatosensory Neocortex (Jones et al. 2007)
",SS-cortex_r1.zip,113732,supathresh.dat,batch.hoc,neuron 7.3,33 min,1,1,http://senselab.med.yale.edu/ModelDB/ShowModel.asp?model=113732
"Biophysically realistic neural modeling of the MEG mu rhythm (Jones et al. 2009)
",JonesEtAl2009_r31.zip,136803,"out.dat,Mu_output.dat",Batch.hoc,neuron 7.3,9 min,2,1,http://senselab.med.yale.edu/ModelDB/ShowModel.asp?model=136803
"Large scale model of the olfactory bulb (Yu et al., 2013)",YuEtAl2012.zip,144570,spk001-15.dat ,parinit.hoc,neuron 7.3 ,1hour 40 minutes,10,24,http://senselab.med.yale.edu/modeldb/showmodel.asp?model=144570
"CA3 pyramidal cell: rhythmogenesis in a reduced Traub model (Pinsky, Rinzel 1994)
",b04feb12.zip,35358,xpp.dat,batch_a.hoc,neuron7.3,1 min,1,1,http://senselab.med.yale.edu/modeldb/showmodel.asp?model=35358
"Controlling KCa channels with different Ca2+ buffering models in Purkinje cell (Anwar et al. 2010)
",AnwarEtAl2010.zip,138382,CaSpikeProtocol.dat,"runCaSpikesDCM.hoc
",neuron7.3,2min,1,1,http://senselab.med.yale.edu/modeldb/showmodel.asp?model=138382
"Dentate gyrus (Morgan et al. 2007, 2008, Santhakumar et al. 2005, Dyhrfjeld-Johnsen et al. 2007)
",dentate_gyrus_r6.zip,124513,"spikerast.txt,numCons.dat","50knet.hoc
",neuron7.3,1min,1,1,http://senselab.med.yale.edu/modeldb/showmodel.asp?model=124513
"Encoding and retrieval in a model of the hippocampal CA1 microcircuit (Cutsuridis et al. 2009)
",Hipp_paper_code_r1.zip,123815,stdout.txt,"HAM_StoRec_par.hoc
",neuron7.3,6min,1,1,http://senselab.med.yale.edu/modeldb/showmodel.asp?model=123815
"Engaging distinct oscillatory neocortical circuits (Vierling-Claassen et al. 2010)
",Vierling-ClaassenEtAl2010.zip,141273,"FS0.dat,FS8.dat,F168.dat,FS32.dat,FS40.dat,FS48.dat,FS56.dat,FS64.dat,FS72.dat,FS80.dat","light_batch_FSdrive.hoc
",neuron7.3,26min,1,1,http://senselab.med.yale.edu/modeldb/showmodel.asp?model=141273
"A fast model of voltage-dependent NMDA Receptors (Moradi et al. 2012)
",MoradiEtAl2012_r1.zip,145836,"Exp05/I-NMDA.dat,Exp05/t.dat,Exp05/v.dat,Exp09-Kim11-Oscilating-Voltage/I-NMDA.dat,Exp09-Kim11-Oscilating-Voltage/time.dat,Exp09-Kim11-Oscilating-Voltage/Vm.dat,Exp10-Clarke08-Fig10/I-NMDA16-2-CaSpike.dat,Exp10-Clarke08-Fig10/I-NMDA16-2-NaSpike.dat,Exp10-Clarke08-Fig10/I-NMDA16-CaSpike.dat,Exp10-Clarke08-Fig10/I-NMDA16-NaSpike.dat,Exp10-Clarke08-Fig10/tCaSpike.dat,Exp10-Clarke08-Fig10/tNaSpike.dat,Exp10-Clarke08-Fig10/vCaSpike.dat,Exp10-Clarke08-Fig10/vNaSpike.dat","Exp01-Exp2NMDA-Fitting.hoc
",neuron7.3,5min,1,1,http://senselab.med.yale.edu/modeldb/showmodel.asp?model=145836
"Ion channel modeling with whole cell and a genetic algorithm (Gurkiewicz and Korngreen 2007)
",Ga_demo20070907.zip,97756,"Act_data,Deact_data","ga_setup.hoc
",neuron7.3,1min,1,1,http://senselab.med.yale.edu/modeldb/showmodel.asp?model=97756
"Shaping of action potentials by different types of BK channels (Jaffe et al., 2011)
",Figure5.zip,140471,"trace_ab_ 1.dat,trace_ab_ 2.dat,trace_ab_ 3.dat,trace_ab_ 4.dat,trace_ab_ 5.dat,trace_ab_6.dat,trace_ab_ 7.dat,trace_ab_ 8.dat,trace_a_ 1.dat,trace_a_ 2.dat,trace_a_ 3.dat,trace_a_ 4.dat,trace_a_ 5.dat,trace_a_ 6.dat,trace_a_ 7.dat,trace_a_ 8.dat","figure5.hoc
",neuron7.3,1min,1,1,http://senselab.med.yale.edu/modeldb/showmodel.asp?model=140471
